"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C10","2","1uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17","11","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C13,C14","2","10uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C15,C16","2","15pF","","","","Capacitor_SMD:C_0402_1005Metric",""
"D2","1","SK6812MINI","","","","LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm","https://cdn-shop.adafruit.com/product-files/2686/SK6812MINI_REV.01-1-2.pdf"
"J1","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2,J3","2","Conn_01x20","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical",""
"J4","1","Conn_01x03","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"R1,R2","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R3","1","1K","","","","Resistor_SMD:R_0402_1005Metric",""
"R4","1","10k","","","","Resistor_SMD:R_0402_1005Metric",""
"R5","1","1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R6,R7","2","27","","","","Resistor_SMD:R_0402_1005Metric",""
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK",""
"U1","1","RP2040","","","","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"U2","1","MCP1700x-330xxTT","","","","Package_TO_SOT_SMD:SOT-23","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf"
"U3","1","W25Q16JVUXIQ","","","","Package_SON:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"Y1","1","12 MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
